PDB ID	Name	EC Number	UniProtKB ID
12as	aspartate---ammonia ligase	6.3.1.1	P00963
132l	lysozyme	3.2.1.17	P00698
135l	lysozyme	3.2.1.17	P00703
13pk	phosphoglycerate kinase	2.7.2.3	P07378
1a05	3-isopropylmalate dehydrogenase	1.1.1.85	Q56268
1a0i	DNA ligase (ATP)	6.5.1.1	P00969
1a0j	trypsin	3.4.21.4	P35033
1a16	Xaa-Pro aminopeptidase	3.4.11.9	P15034
1a26	NAD+ ADP-ribosyltransferase	2.4.2.30	P26446
1a2t	micrococcal nuclease	3.1.31.1	P00644
1a30	HIV-1 retropepsin	3.4.23.16	P04585
1a41	DNA topoisomerase	5.99.1.2	P68698
1a4g	exo-alpha-sialidase	3.2.1.18	P27907
1a4i	methylenetetrahydrofolate dehydrogenase (NADP+)	1.5.1.5	P11586
1a4l	adenosine deaminase	3.5.4.4	P03958
1a4s	betaine-aldehyde dehydrogenase	1.2.1.8	P56533
1a4y	ANGIOGENIN	3.1.27.-	P13489
1a4y	ANGIOGENIN	3.1.27.-	P03950
1a50	tryptophan synthase	4.2.1.20	P00929
1a50	tryptophan synthase	4.2.1.20	P0A2K1
1a69	purine-nucleoside phosphorylase	2.4.2.1	P0ABP8
1a6d	THERMOSOME	-.-.-.-	P48424
1a6d	THERMOSOME	-.-.-.-	P48425
1a79	tRNA-intron endonuclease	3.1.27.9	Q58819
1a7u	chloride peroxidase	1.11.1.10	O31168
1a8h	methionine---tRNA ligase	6.1.1.10	P23395
1a8q	chloride peroxidase	1.11.1.10	P33912
1a8s	chloride peroxidase	1.11.1.10	O31158
1a95	xanthine phosphoribosyltransferase	2.4.2.22	P0A9M5
1aa6	formate dehydrogenase	1.2.1.2	P07658
1aam	aspartate transaminase	2.6.1.1	P00509
1ab4	DNA topoisomerase (ATP-hydrolysing)	5.99.1.3	P0AES4
1ab8	adenylate cyclase	4.6.1.1	P26769
1abr	rRNA N-glycosylase	3.2.2.22	P11140
1adn	methylated-DNA---[protein]-cysteine S-methyltransferase	2.1.1.63	P06134
1af7	protein-glutamate O-methyltransferase	2.1.1.80	P07801
1afr	acyl-[acyl-carrier-protein] desaturase	1.14.19.2	P22337
1afw	acetyl-CoA C-acyltransferase	2.3.1.16	P27796
1agm	glucan 1,4-alpha-glucosidase	3.2.1.3	P69327
1agy	cutinase	3.1.1.74	P00590
1ah7	phospholipase C	3.1.4.3	P09598
1ahj	nitrile hydratase	4.2.1.84	P13448
1ahj	nitrile hydratase	4.2.1.84	P13449
1aj0	dihydropteroate synthase	2.5.1.15	P0AC13
1aj8	citrate (Si)-synthase	2.3.3.1	Q53554
1ak0	Aspergillus nuclease S1	3.1.30.1	P24289
1akd	camphor 5-monooxygenase	1.14.15.1	P00183
1akm	ornithine carbamoyltransferase	2.1.3.3	P04391
1ako	exodeoxyribonuclease III	3.1.11.2	P09030
1al6	citrate (Si)-synthase	2.3.3.1	P23007
1ald	fructose-bisphosphate aldolase	4.1.2.13	P04075
1alk	alkaline phosphatase	3.1.3.1	P00634
1am2	DNA topoisomerase (ATP-hydrolysing)	5.99.1.3	P72065
1am5	pepsin A	3.4.23.1	P56272
1amo	NADPH---hemoprotein reductase	1.6.2.4	P00388
1amp	bacterial leucyl aminopeptidase	3.4.11.10	Q01693
1amy	alpha-amylase	3.2.1.1	P04063
1aop	sulfite reductase (NADPH)	1.8.1.2	P17846
1apt	penicillopepsin	3.4.23.20	P00798
1apx	L-ascorbate peroxidase	1.11.1.11	P48534
1apy	N4-(beta-N-acetylglucosaminyl)-L-asparaginase	3.5.1.26	P20933
1aq0	licheninase	3.2.1.73	P12257
1aq2	phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	P22259
1aql	sterol esterase	3.1.1.13	P30122
1ar1	cytochrome-c oxidase	1.9.3.1	P98002
1ar1	cytochrome-c oxidase	1.9.3.1	P08306
1ar1	cytochrome-c oxidase	1.9.3.1	P18525
1ar1	cytochrome-c oxidase	1.9.3.1	P01636
1arz	dihydrodipicolinate reductase	1.3.1.26	P04036
1ast	astacin	3.4.24.21	P07584
1asy	aspartate---tRNA ligase	6.1.1.12	P04802
1at1	aspartate carbamoyltransferase	2.1.3.2	P0A786
1at1	aspartate carbamoyltransferase	2.1.3.2	P0A7F3
1aug	pyroglutamyl-peptidase I	3.4.19.3	P46107
1aui	phosphoprotein phosphatase	3.1.3.16	Q08209
1aui	phosphoprotein phosphatase	3.1.3.16	P63098
1auk	cerebroside-sulfatase	3.1.6.8	P15289
1auo	carboxylesterase	3.1.1.1	Q53547
1auw	argininosuccinate lyase	4.3.2.1	P24058
1avf	gastricsin	3.4.23.3	P20142
1avq	exodeoxyribonuclease (lambda-induced)	3.1.11.3	P03697
1aw8	aspartate 1-decarboxylase	4.1.1.11	P0A790
1ax4	tryptophanase	4.1.99.1	P28796
1ay4	aromatic-amino-acid transaminase	2.6.1.57	P95468
1azw	prolyl aminopeptidase	3.4.11.5	P52279
1azy	thymidine phosphorylase	2.4.2.4	P07650
1b02	thymidylate synthase	2.1.1.45	P0CI79
1b04	DNA ligase (NAD+)	6.5.1.2	O87703
1b2m	ribonuclease T1	3.1.27.3	P00651
1b2r	ferredoxin---NADP+ reductase	1.18.1.2	P21890
2gb0	sarcosine oxidase	1.5.3.1	P40859
1b3r	adenosylhomocysteinase	3.3.1.1	P10760
1b57	fructose-bisphosphate aldolase	4.1.2.13	P0AB71
1b5d	deoxycytidylate 5-hydroxymethyltransferase	2.1.2.8	P08773
1b5t	methylenetetrahydrofolate reductase [NAD(P)H]	1.5.1.20	P0AEZ1
1b66	6-pyruvoyltetrahydropterin synthase	4.2.3.12	P27213
1b6b	aralkylamine N-acetyltransferase	2.3.1.87	Q29495
1b6g	haloalkane dehalogenase	3.8.1.5	P22643
1b6t	pantetheine-phosphate adenylyltransferase	2.7.7.3	P0A6I6
1b73	glutamate racemase	5.1.1.3	P56868
1b7y	phenylalanine---tRNA ligase	6.1.1.20	P27001
1b7y	phenylalanine---tRNA ligase	6.1.1.20	P27002
1h7a	ribonucleoside-triphosphate reductase	1.17.4.2	P07071
1b8f	histidine ammonia-lyase	4.3.1.3	P21310
1b8g	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14	P37821
1b93	methylglyoxal synthase	4.2.3.3	P0A731
1bbs	renin	3.4.23.15	P00797
1bcr	carboxypeptidase D	3.4.16.6	P08819
1bd0	alanine racemase	5.1.1.1	P10724
1bd3	uracil phosphoribosyltransferase	2.4.2.9	Q26998
1be1	methylaspartate mutase	5.4.99.1	Q05488
1bf2	isoamylase	3.2.1.68	P10342
1bfd	benzoylformate decarboxylase	4.1.1.7	P20906
1bg0	arginine kinase	2.7.3.3	P51541
1bg6	opine dehydrogenase	1.5.1.28	Q44297
1bgl	beta-galactosidase	3.2.1.23	P00722
1bh2	GUANINE NUCLEOTIDE-BINDING PROTEIN	-.-.-.-	P10824
1bhg	beta-glucuronidase	3.2.1.31	P08236
1bib	biotin---[acetyl-CoA-carboxylase] ligase	6.3.4.15	P06709
1bix	DNA-(apurinic or apyrimidinic site) lyase	4.2.99.18	P27695
1bjo	phosphoserine transaminase	2.6.1.52	P23721
1bjp	4-oxalocrotonate tautomerase	5.3.2.-	Q01468
1bmt	methionine synthase	2.1.1.13	P13009
1bo1	1-phosphatidylinositol-5-phosphate 4-kinase	2.7.1.149	P78356
1bob	histone acetyltransferase	2.3.1.48	Q12341
1bol	ribonuclease T2	3.1.27.1	P08056
1boo	site-specific DNA-methyltransferase (cytosine-N4-specific)	2.1.1.113	P11409
1bou	protocatechuate 4,5-dioxygenase	1.13.11.8	P22635
1bou	protocatechuate 4,5-dioxygenase	1.13.11.8	P22636
1bp2	phospholipase A2	3.1.1.4	P00593
1brm	aspartate-semialdehyde dehydrogenase	1.2.1.11	P0A9Q9
1brw	pyrimidine-nucleoside phosphorylase	2.4.2.2	P77836
1bs0	8-amino-7-oxononanoate synthase	2.3.1.47	P12998
1bs4	peptide deformylase	3.5.1.88	P0A6K3
1bs9	acetylxylan esterase	3.1.1.72	O59893
1bsj	peptide deformylase	3.5.1.88	P0A6K3
1bt1	catechol oxidase	1.10.3.1	Q9ZP19
1btl	beta-lactamase	3.5.2.6	P62593
1bu7	unspecific monooxygenase	1.14.14.1	P14779
1bvv	endo-1,4-beta-xylanase	3.2.1.8	P09850
1bvz	neopullulanase	3.2.1.135	Q08751
1bwd	scyllo-inosamine-4-phosphate amidinotransferase	2.1.4.2	P08078
1bwl	NADPH dehydrogenase	1.6.99.1	Q02899
1bwp	1-alkyl-2-acetylglycerophosphocholine esterase	3.1.1.47	Q29460
1bwz	diaminopimelate epimerase	5.1.1.7	P44859
1bxr	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	P00968
1bxr	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	P0A6F1
1bzc	protein-tyrosine-phosphatase	3.1.3.48	P18031
1bzy	hypoxanthine phosphoribosyltransferase	2.4.2.8	P00492
1c0k	D-amino-acid oxidase	1.4.3.3	P80324
1c17	H+-transporting two-sector ATPase	3.6.3.14	P68699
1c17	H+-transporting two-sector ATPase	3.6.3.14	P0AB98
1c2t	phosphoribosylglycinamide formyltransferase	2.1.2.2	P08179
1c3c	adenylosuccinate lyase	4.3.2.2	Q9X0I0
1c3j	DNA beta-glucosyltransferase	2.4.1.27	P04547
1c4t	dihydrolipoyllysine-residue succinyltransferase	2.3.1.61	P0AFG6
1c4z	ubiquitin---protein ligase	6.3.2.19	Q05086
1c4z	ubiquitin---protein ligase	6.3.2.19	P68036
1c54	ribonuclease T1	3.1.27.3	P05798
1c82	hyaluronate lyase	4.2.2.1	Q54873
1c9u	quinoprotein glucose dehydrogenase	1.1.5.2	P13650
1ca0	chymotrypsin	3.4.21.1	P00766
1ca0	chymotrypsin	3.4.21.1	P05067
1ca2	carbonate dehydratase	4.2.1.1	P00918
1cb7	methylaspartate mutase	5.4.99.1	P80078
1cb7	methylaspartate mutase	5.4.99.1	P80077
1cb8	chondroitin AC lyase	4.2.2.5	Q59288
1cbg	beta-glucosidase	3.2.1.21	P26205
1cbx	carboxypeptidase A	3.4.17.1	P00730
1cc1	hydrogenase (acceptor)	1.12.99.6	P13065
1cc1	hydrogenase (acceptor)	1.12.99.6	P13063
1cd5	glucosamine-6-phosphate deaminase	3.5.99.6	P0A759
1cde	phosphoribosylglycinamide formyltransferase	2.1.2.2	P08179
1cdg	cyclomaltodextrin glucanotransferase	2.4.1.19	P43379
1cel	cellulose 1,4-beta-cellobiosidase	3.2.1.91	P62694
1cev	arginase	3.5.3.1	P53608
1cf2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)	1.2.1.59	P10618
1cfr	type II site-specific deoxyribonuclease	3.1.21.4	P56200
1cg2	glutamate carboxypeptidase	3.4.17.11	P06621
1cg6	S-methyl-5'-thioadenosine phosphorylase	2.4.2.28	Q13126
1cgk	naringenin-chalcone synthase	2.3.1.74	P30074
1chd	protein-glutamate methylesterase	3.1.1.61	P04042
1chk	chitosanase	3.2.1.132	P33665
1chm	creatinase	3.5.3.3	P38488
1ci8	carboxylesterase	3.1.1.1	Q9KX40
1cjy	phospholipase A2	3.1.1.4	P47712
1ck7	gelatinase A	3.4.24.24	P08253
1cl1	cystathionine beta-lyase	4.4.1.8	P06721
1cm0	histone acetyltransferase	2.3.1.48	Q92831
1cms	chymosin	3.4.23.4	P00794
1cmx	ubiquitinyl hydrolase 1	3.4.19.12	P35127
1cmx	ubiquitinyl hydrolase 1	3.4.19.12	P0CG48
1cns	chitinase	3.2.1.14	P23951
1coy	cholesterol oxidase	1.1.3.6	P22637
1cqg	DNA-(apurinic or apyrimidinic site) lyase	4.2.99.18	P10599
1cqg	DNA-(apurinic or apyrimidinic site) lyase	4.2.99.18	P27695
1cqj	succinate---CoA ligase (ADP-forming)	6.2.1.5	P0AGE9
1cqj	succinate---CoA ligase (ADP-forming)	6.2.1.5	P0A836
1cqq	RNA-directed RNA polymerase	2.7.7.48	P04936
1cs1	cystathionine gamma-synthase	2.5.1.48	P00935
1ct9	asparagine synthase (glutamine-hydrolysing)	6.3.5.4	P22106
1ctn	chitinase	3.2.1.14	P07254
1ctt	cytidine deaminase	3.5.4.5	P0ABF6
1cv2	haloalkane dehalogenase	3.8.1.5	P51698
1cvr	gingipain R	3.4.22.37	P95493
1cw0	DNA (5'-D(*AP*CP*GP*TP*AP*CP*CP*TP*GP*GP*CP*T)- 3')	3.1.-.-	P09184
